Question,Proposition 1,Proposition 2,Proposition 3,Proposition 4,Réponse
Quel est le participe passé de 'prendre' ?,pris,prend,prisais,prendez,pris
Quelle est la capitale de l'Italie ?,Rome,Madrid,Lisbonne,Athènes,Rome
Comment dit-on 'bonjour' en anglais ?,hello,goodbye,please,thanks,hello
Qui a écrit 'Le Petit Prince' ?,Victor Hugo,Antoine de Saint-Exupéry,Albert Camus,Jean de La Fontaine,Antoine de Saint-Exupéry
Quel est l'âge de la majorité en France ?,16 ans,18 ans,20 ans,21 ans,18 ans
Comment s'appelle le processus par lequel une plante fabrique sa nourriture ?,Photosynthèse,Respiration,Germination,Absorption,Photosynthèse
Comment dit-on 'merci' en anglais ?,thank you,please,sorry,good morning,thank you
Quelle est la plus grande planète du système solaire ?,Terre,Mars,Jupiter,Saturne,Jupiter
Quel est le participe passé de 'être' ?,Été,Être,Étais,Était,Été
En quelle année la Révolution française a-t-elle commencé ?,1789,1792,1815,1848,1789
Quel est le synonyme de 'rapide' ?,Lent,Vif,Petit,Grand,Vif
Comment s'appelle l'animal emblématique de l'Australie ?,Kangourou,Éléphant,Panda,Chameau,Kangourou
Quel est le nom de la reine d'Angleterre actuelle ?,Elizabeth I,Elizabeth II,Victoria,Marie,Elizabeth II
Combien de joueurs composent une équipe de football ?,7,9,10,11,11
Qui a écrit 'Les Misérables' ?,Victor Hugo,Jean-Paul Sartre,Emile Zola,André Gide,Victor Hugo
Dans quel pays trouve-t-on la grande muraille ?,Chine,Inde,Japon,Corée,Chine
Quel est le symbole chimique de l'oxygène ?,O,O2,Ox,Oxy,O
Quel est l'organe de la vision ?,Cœur,Yeux,Poumons,Estomac,Yeux
Quelle est la capitale de l'Allemagne ?,Berlin,Paris,Rome,Madrid,Berlin
Quelle est la monnaie utilisée aux États-Unis ?,Euro,Dollar,Livre,Yen,Dollar
Qui a écrit 'Le Seigneur des Anneaux' ?,J.K. Rowling,J.R.R. Tolkien,George R.R. Martin,C.S. Lewis,J.R.R. Tolkien
Quel est le plus long fleuve du monde ?,Nile,Amazone,Mississippi,Yangtsé,Amazone
Quel est le nom du président de la République française en 2024 ?,Emmanuel Macron,Nicolas Sarkozy,François Hollande
Quelle est la capitale de la Belgique ?,Bruxelles,Amsterdam,Paris,Berlin,Bruxelles
Quel est l'instrument de musique à vent qui ressemble à une clarinette ?,Saxophone,Trompette,Harpe,Violon,Saxophone
Quel est l'organe qui permet de respirer ?,Poumon,Cœur,Foie,Estomac,Poumon
En quelle année a eu lieu la Première Guerre mondiale ?,1914,1915,1920,1939,1914
Quel est l'instrument utilisé par les astronomes pour observer les étoiles ?,Lunette,Microscope,Télescope,Jumelles,Télescope
Quel est l'animal qui vit dans un terrier ?,Lapin,Ours,Chien,Poisson,Lapin
Qui a découvert l'Amérique ?,Christophe Colomb,Marco Polo,Magellan,Vasco de Gama,Christophe Colomb
